iso3,country,year,unemployment,inflation
AUS,Australia,1978,6.3267,8.0049
AUS,Australia,1979,6.2545,9.122
AUS,Australia,1980,6.0928,10.1358
AUS,Australia,1981,5.7645,9.4877
AUS,Australia,1982,7.1669,11.3518
AUS,Australia,1983,9.9822,10.0389
AUS,Australia,1984,8.9893,3.9604
AUS,Australia,1985,8.2547,6.7347
AUS,Australia,1986,8.0674,9.0504
AUS,Australia,1987,8.0849,8.533
AUS,Australia,1988,7.2097,7.216
AUS,Australia,1989,6.1544,7.5339
AUS,Australia,1990,6.9472,7.333
AUS,Australia,1991,9.6064,3.1767
AUS,Australia,1992,10.7562,1.0122
AUS,Australia,1993,10.8824,1.7537
AUS,Australia,1994,9.7145,1.9696
AUS,Australia,1995,8.473,4.6278
AUS,Australia,1996,8.5149,2.6154
AUS,Australia,1997,8.3635,0.2249
AUS,Australia,1998,7.6842,0.8601
AUS,Australia,1999,6.8691,1.4831
AUS,Australia,2000,6.2785,4.4574
AUS,Australia,2001,6.7708,4.4071
AUS,Australia,2002,6.3673,2.9816
AUS,Australia,2003,5.9307,2.7326
AUS,Australia,2004,5.3924,2.3433
AUS,Australia,2005,5.0326,2.6918
AUS,Australia,2006,4.7739,3.5553
AUS,Australia,2007,4.3709,2.3276
AUS,Australia,2008,4.2425,4.3503
AUS,Australia,2009,5.5693,1.7711
AUS,Australia,2010,5.2088,2.9183
AUS,Australia,2011,5.0827,3.3038
AUS,Australia,2012,5.2257,1.7628
AUS,Australia,2013,5.6689,2.4499
AUS,Australia,2014,6.0623,2.4879
AUS,Australia,2015,6.0584,1.5084
AUS,Australia,2016,5.7189,1.277
AUS,Australia,2017,5.6064,1.9486
AUS,Australia,2018,5.304,1.9114
AUS,Australia,2019,5.1732,1.6108
AUS,Australia,2020,6.4784,0.8469
AUS,Australia,2021,5.1234,2.8639
AUS,Australia,2022,3.7196,6.5941
AUS,Australia,2023,3.6943,5.597
AUS,Australia,2024,4.0181,3.1666
AUT,Austria,1993,3.9583,3.6318
AUT,Austria,1994,3.8333,2.9534
AUT,Austria,1995,4.2417,2.2434
AUT,Austria,1996,4.7167,1.861
AUT,Austria,1997,4.7583,1.306
AUT,Austria,1998,4.7083,0.9225
AUT,Austria,1999,4.1417,0.569
