iso3,country,year,unemployment
AUS,Australia,1978,6.3267
AUS,Australia,1979,6.2545
AUS,Australia,1980,6.0928
AUS,Australia,1981,5.7645
AUS,Australia,1982,7.1669
AUS,Australia,1983,9.9822
AUS,Australia,1984,8.9893
AUS,Australia,1985,8.2547
AUS,Australia,1986,8.0674
AUS,Australia,1987,8.0849
AUS,Australia,1988,7.2097
AUS,Australia,1989,6.1544
AUS,Australia,1990,6.9472
AUS,Australia,1991,9.6064
AUS,Australia,1992,10.7562
AUS,Australia,1993,10.8824
AUS,Australia,1994,9.7145
AUS,Australia,1995,8.473
AUS,Australia,1996,8.5149
AUS,Australia,1997,8.3635
AUS,Australia,1998,7.6842
AUS,Australia,1999,6.8691
AUS,Australia,2000,6.2785
AUS,Australia,2001,6.7708
AUS,Australia,2002,6.3673
AUS,Australia,2003,5.9307
AUS,Australia,2004,5.3924
AUS,Australia,2005,5.0326
AUS,Australia,2006,4.7739
AUS,Australia,2007,4.3709
AUS,Australia,2008,4.2425
AUS,Australia,2009,5.5693
AUS,Australia,2010,5.2088
AUS,Australia,2011,5.0827
AUS,Australia,2012,5.2257
AUS,Australia,2013,5.6689
AUS,Australia,2014,6.0623
AUS,Australia,2015,6.0584
AUS,Australia,2016,5.7189
AUS,Australia,2017,5.6064
AUS,Australia,2018,5.304
AUS,Australia,2019,5.1732
AUS,Australia,2020,6.4784
AUS,Australia,2021,5.1234
AUS,Australia,2022,3.7196
AUS,Australia,2023,3.6943
AUS,Australia,2024,4.0181
AUS,Australia,2025,4.203
AUS,Australia,2026,4.0753
AUT,Austria,1993,3.9583
AUT,Austria,1994,3.8333
AUT,Austria,1995,4.2417
AUT,Austria,1996,4.7167
AUT,Austria,1997,4.7583
AUT,Austria,1998,4.7083
AUT,Austria,1999,4.1417
AUT,Austria,2000,3.8833
AUT,Austria,2001,4.0083
AUT,Austria,2002,4.3917
AUT,Austria,2003,4.7917
AUT,Austria,2004,5.875
AUT,Austria,2005,6.025
AUT,Austria,2006,5.6
AUT,Austria,2007,5.1917
AUT,Austria,2008,4.4167
AUT,Austria,2009,5.6917
AUT,Austria,2010,5.1917
AUT,Austria,2011,4.875
AUT,Austria,2012,5.2417
AUT,Austria,2013,5.7167
AUT,Austria,2014,6.0333
AUT,Austria,2015,6.1583
AUT,Austria,2016,6.475
AUT,Austria,2017,5.95
AUT,Austria,2018,5.225
AUT,Austria,2019,4.8167
AUT,Austria,2020,6.0917
AUT,Austria,2021,6.1667
AUT,Austria,2022,4.7333
AUT,Austria,2023,5.1417
AUT,Austria,2024,5.175
AUT,Austria,2025,5.6917
AUT,Austria,2026,5.6
BEL,Belgium,1983,10.7417
BEL,Belgium,1984,10.825
BEL,Belgium,1985,10.1167
BEL,Belgium,1986,10.05
BEL,Belgium,1987,9.8083
BEL,Belgium,1988,8.8333
BEL,Belgium,1989,7.3667
BEL,Belgium,1990,6.5583
BEL,Belgium,1991,6.45
BEL,Belgium,1992,7.0917
BEL,Belgium,1993,8.625
BEL,Belgium,1994,9.75
BEL,Belgium,1995,9.6833
BEL,Belgium,1996,9.55
BEL,Belgium,1997,9.2167
BEL,Belgium,1998,9.3417
BEL,Belgium,1999,8.425
BEL,Belgium,2000,6.8583
BEL,Belgium,2001,6.5667
BEL,Belgium,2002,7.525
BEL,Belgium,2003,8.175
BEL,Belgium,2004,8.3833
BEL,Belgium,2005,8.475
BEL,Belgium,2006,8.2667
BEL,Belgium,2007,7.4917
BEL,Belgium,2008,6.9667
BEL,Belgium,2009,7.9917
BEL,Belgium,2010,8.3917
BEL,Belgium,2011,7.225
BEL,Belgium,2012,7.6417
BEL,Belgium,2013,8.5583
BEL,Belgium,2014,8.65
BEL,Belgium,2015,8.6583
BEL,Belgium,2016,7.8333
BEL,Belgium,2017,7.1
BEL,Belgium,2018,5.9667
BEL,Belgium,2019,5.375
BEL,Belgium,2020,5.5583
BEL,Belgium,2021,6.2833
BEL,Belgium,2022,5.5583
BEL,Belgium,2023,5.5333
BEL,Belgium,2024,5.725
BEL,Belgium,2025,6.2083
BEL,Belgium,2026,6.4
CAN,Canada,1955,4.2833
CAN,Canada,1956,3.3
CAN,Canada,1957,4.75
CAN,Canada,1958,7.1333
CAN,Canada,1959,5.875
CAN,Canada,1960,7.05
CAN,Canada,1961,7.0833
CAN,Canada,1962,5.8667
CAN,Canada,1963,5.4833
CAN,Canada,1964,4.6583
CAN,Canada,1965,3.8667
CAN,Canada,1966,3.325
CAN,Canada,1967,3.8167
CAN,Canada,1968,4.4917
CAN,Canada,1969,4.4083
CAN,Canada,1970,5.725
CAN,Canada,1971,6.1833
CAN,Canada,1972,6.2167
CAN,Canada,1973,5.55
CAN,Canada,1974,5.3417
CAN,Canada,1975,6.9083
CAN,Canada,1976,7.1
CAN,Canada,1977,8.0667
CAN,Canada,1978,8.3667
CAN,Canada,1979,7.5
CAN,Canada,1980,7.5167
CAN,Canada,1981,7.6167
CAN,Canada,1982,11.1
CAN,Canada,1983,12.0
CAN,Canada,1984,11.375
CAN,Canada,1985,10.5083
CAN,Canada,1986,9.6083
CAN,Canada,1987,8.8
CAN,Canada,1988,7.775
CAN,Canada,1989,7.5083
CAN,Canada,1990,8.15
CAN,Canada,1991,10.3167
